Rank  Name                               Rating
1.    Jannik Sinner                     763.401 
2.    Novak Djokovic                    634.173 
3.    Robin Soderling                    606.71 
4.    Carlos Alcaraz                    563.171 
5.    Roger Federer                     533.993 
6.    Arthur Ashe                        528.64 
7.    Alexander Zverev                  519.179 
8.    Taylor Fritz                      506.413 
9.    Nick Kyrgios                      467.654 
10.    Patrick Rafter                    443.651 
11.    Juan Martin del Potro             443.066 
12.    Rod Laver                         442.116 
13.    Daniil Medvedev                   436.499 
14.    Pete Sampras                      419.011 
15.    Andy Roddick                      409.196 
16.    Gene Mayer                         408.83 
17.    Raul Ramirez                      408.584 
18.    Jack Draper                       407.674 
19.    John Newcombe                     407.399 
20.    Holger Rune                       405.185 
21.    Grigor Dimitrov                     403.0 
22.    Stefan Edberg                     400.815 
23.    Alex De Minaur                    398.037 
24.    Sebastian Korda                   393.696 
25.    Boris Becker                      383.186 
26.    Kent Carlsson                     381.587 
27.    John McEnroe                      379.573 
28.    Nicolas Escude                    374.657 
29.    Andre Agassi                      371.512 
30.    Michael Stich                     370.923 
31.    Ugo Humbert                       369.152 
32.    Matteo Berrettini                 368.519 
33.    Stefanos Tsitsipas                367.371 
34.    Mario Ancic                       365.824 
35.    Tommy Paul                        365.048 
36.    Karen Khachanov                   363.624 
37.    Rafael Nadal                       363.29 
38.    Richard Gonzalez                  360.659 
39.    Alex Metreveli                    354.289 
40.    Hubert Hurkacz                    352.119 
41.    Bjorn Borg                        345.177 
42.    Alexei Popyrin                    335.954 
43.    Jay Berger                        334.883 
44.    Haroon Rahim                       334.24 
45.    Tony Roche                        327.154 
46.    Andres Gimeno                     325.941 
47.    Miloslav Mecir                     323.46 
48.    Lorenzo Musetti                   318.797 
49.    Jan Leschly                       316.337 
50.    Ben Shelton                       315.492 
51.    Tomas Machac                      315.299 
52.    David Nalbandian                  308.455 
53.    Darren Cahill                     308.186 
54.    Gael Monfils                      304.547 
55.    Roy Emerson                       297.978 
56.    Denis Shapovalov                  297.587 
57.    Flavio Cobolli                    297.305 
58.    Jordan Thompson                   296.395 
59.    Felix Auger Aliassime             295.577 
60.    Mardy Fish                        290.149 
61.    Frances Tiafoe                    288.277 
62.    Milos Raonic                       287.17 
63.    Ivan Lendl                        284.619 
64.    Jiri Lehecka                       283.72 
65.    Sandy Mayer                       282.551 
66.    Marat Safin                       281.766 
67.    Arthur Fils                       281.606 
68.    Roberto Bautista Agut             280.292 
69.    Jose Higueras                     278.665 
70.    Jan Lennard Struff                273.614 
71.    Teimuraz Kakulia                  273.598 
72.    David Goffin                      273.539 
73.    Buster C Mottram                  272.161 
74.    Richard Krajicek                  271.932 
75.    Christophe Van Garsse             271.835 
76.    Tallon Griekspoor                 271.561 
77.    Radek Stepanek                    271.467 
78.    Mariano Puerta                    271.422 
79.    Jakob Hlasek                      270.972 
80.    Alexandr Dolgopolov                269.57 
81.    Allan Stone                        268.87 
82.    Ken Rosewall                      266.838 
83.    Jim Courier                       266.347 
84.    Kei Nishikori                     263.117 
85.    Bob Lutz                          261.501 
86.    Earl Butch Buchholz                260.94 
87.    Thanasi Kokkinakis                 260.56 
88.    Tomas Berdych                     259.894 
89.    Marty Riessen                     258.348 
90.    Brandon Nakashima                 258.347 
91.    Hyeon Chung                       256.841 
92.    Casper Ruud                       256.518 
93.    Rafael Osuna                      254.644 
94.    Eddie Dibbs                       254.263 
95.    Francisco Cerundolo               254.149 
96.    Jenson Brooksby                   250.687 
97.    John Lloyd                        250.019 
98.    Peter Mcnamara                    249.554 
99.    Andrey Rublev                     243.216 
100.    Balazs Taroczy                    242.566 
101.    Alex Michelsen                    240.191 
102.    Joachim Johansson                  240.06 
103.    Cliff Drysdale                    236.994 
104.    Juan Carlos Ferrero               236.727 
105.    Fred Stolle                       236.683 
106.    Marcos Giron                      235.966 
107.    Sjeng Schalken                    234.719 
108.    Jakub Mensik                      233.687 
109.    Cliff Richey                      233.469 
110.    Nikolay Davydenko                  232.48 
111.    David Ferrer                      232.398 
112.    Brian Gottfried                   231.953 
113.    Corrado Barazzutti                228.765 
114.    Jerzy Janowicz                    226.281 
115.    Fabrice Santoro                   226.224 
116.    Michael Llodra                    225.986 
117.    Giovanni Mpetshi Perricard        225.934 
118.    Mikael Tillstrom                   225.38 
119.    Takao Suzuki                      225.058 
120.    Alejandro Olmedo                  224.943 
121.    Jose Acasuso                      222.071 
122.    Matteo Arnaldi                    220.845 
123.    Pablo Carreno Busta               220.781 
124.    Karol Kucera                      218.456 
125.    Yannick Hanfmann                  217.681 
126.    Ivan Ljubicic                     215.829 
127.    Mark Philippoussis                 213.05 
128.    Amos Mansdorf                     212.384 
129.    Julien Benneteau                  211.954 
130.    Vitas Gerulaitis                  211.512 
131.    Fernando Gonzalez                 211.491 
132.    Jeremy Chardy                     211.366 
133.    Hamad Medjedovic                   210.17 
134.    Martin Mulligan                   210.058 
135.    Yoshihito Nishioka                209.387 
136.    Emil Ruusuvuori                   208.935 
137.    Jurgen Melzer                     208.705 
138.    Konstantin Pugayev                207.063 
139.    Cameron Norrie                    207.056 
140.    Tim Mayotte                        206.96 
141.    Jason Stoltenberg                 206.804 
142.    Ramanathan Krishnan               206.334 
143.    Jose Luis Clerc                   206.316 
144.    Tim Henman                        204.554 
145.    Alex Molcan                       204.528 
146.    Javier Frana                      202.268 
147.    Vladimir Korotkov                 201.683 
148.    Mikael Ymer                       201.556 
149.    Marcelo Rios                      201.186 
150.    Magnus Larsson                    200.162 
151.    Heinz Gunthardt                   199.603 
152.    Nicolas Kiefer                    199.325 
153.    Ulrich Pinner                     198.665 
154.    Aleksandar Vukic                  198.071 
155.    Magnus Gustafsson                 197.945 
156.    Nicolas Almagro                   197.752 
157.    Ben Testerman                     197.341 
158.    Roman Safiullin                   196.661 
159.    Borna Gojo                        195.993 
160.    Juan Monaco                       194.042 
161.    Pieter Aldrich                    193.831 
162.    Mats Wilander                     192.536 
163.    Zizou Bergs                       192.346 
164.    Jiri Novak                        192.167 
165.    Marcelo Arevalo                   189.878 
166.    Daniel Nestor                     189.853 
167.    Hicham Arazi                      189.776 
168.    Dominik Koepfer                   189.485 
169.    Nicolas Mahut                     189.192 
170.    Herb Fitzgibbon                   188.894 
171.    Andres Gomez                      187.971 
172.    Tom Leonard                       187.868 
173.    Yevgeny Kafelnikov                187.545 
174.    Todd Martin                       187.393 
175.    Thomas Johansson                  186.424 
176.    Yannick Noah                      186.055 
177.    Worapol Thongkamcho               185.972 
178.    Butch Walts                        185.88 
179.    Brian Teacher                     185.828 
180.    Leander Paes                      185.205 
181.    Cedric Pioline                    184.617 
182.    Diego Nargiso                     184.144 
183.    Michael Mmoh                      184.134 
184.    Ramesh Krishnan                   183.484 
185.    Franco Squillari                  183.031 
186.    Eliot Teltscher                   181.315 
187.    Yahiya Doumbia                    181.042 
188.    Alejandro Davidovich Fokina       180.438 
189.    Roscoe Tanner                     180.275 
190.    Jean Julien Rojer                  179.63 
191.    Mauricio Hadad                    179.322 
192.    Alejandro Tabilo                   179.23 
193.    Marin Cilic                        178.49 
194.    Wilhelm Bungert                   178.216 
195.    Tomas Martin Etcheverry           177.865 
196.    Fernando Meligeni                 176.654 
197.    Younes El Aynaoui                  176.09 
198.    Flavio Saretta                    174.625 
199.    Felix Barrientos                   174.33 
200.    Roberto Carballes Baena           174.285 
201.    Arthur Rinderknech                174.239 
202.    Gabriel Markus                    173.848 
203.    Wayne Ferreira                    173.689 
204.    Taylor Dent                       173.169 
205.    Marton Fucsovics                  173.129 
206.    Richey Reneberg                    172.35 
207.    Malivai Washington                171.172 
208.    Petr Korda                        171.112 
209.    Ramon Delgado                      171.01 
210.    Ricardas Berankis                 170.726 
211.    Joao Fonseca                      169.585 
212.    Jimmy Connors                     168.492 
213.    Nikola Pilic                      167.857 
214.    Tom Gullikson                     167.574 
215.    Ulf Stenlund                      167.056 
216.    Wayne Black                       166.953 
217.    Paul Gerken                       166.496 
218.    Edouard Roger Vasselin            166.466 
219.    Dominique Bedel                   166.409 
220.    Filip Dewulf                      165.837 
221.    Albert Costa                      165.605 
222.    Wayne Arthurs                     165.281 
223.    Brian Fairlie                     164.671 
224.    Michael Tauson                     164.55 
225.    John Cooper                        164.26 
226.    Manuel Orantes                    163.478 
227.    Hank Pfister                      163.329 
228.    Ryan Sweeting                     163.149 
229.    Kim Warwick                        163.04 
230.    Jaime Fillol                      162.579 
231.    Shlomo Glickstein                 162.238 
232.    Peter Szoke                       161.878 
233.    Jan Hernych                       161.876 
234.    Miomir Kecmanovic                 161.873 
235.    Peter Wessels                     161.769 
236.    Greg Holmes                       161.691 
237.    Reilly Opelka                      160.53 
238.    Cristian Garin                    160.372 
239.    Jean Loup Rouyer                  160.341 
240.    John Andrews                      159.739 
241.    Danie Visser                      159.706 
242.    Vincent Van Patten                159.629 
243.    Harald Elschenbroich              159.087 
244.    Fritz Buehning                    159.047 
245.    Andrei Medvedev                    158.83 
246.    Chris Woodruff                    158.659 
247.    Jeff Borowiak                     158.235 
248.    Botic Van De Zandschulp            158.13 
249.    Jan Siemerink                     157.762 
250.    Jimmy Arias                       157.739 
251.    Gilles Simon                      156.369 
252.    Chuck Adams                       155.481 
253.    Mike Belkin                       155.472 
254.    Eric Jelen                        154.517 
255.    Frederico Gil                     154.314 
256.    Lleyton Hewitt                    153.833 
257.    Quentin Halys                     153.727 
258.    Hans Jurgen Pohmann               153.225 
259.    Kevin Curren                      152.682 
260.    Jared Palmer                      152.207 
261.    Christian Kuhnke                  151.644 
262.    Greg Rusedski                     151.455 
263.    Paolo Bertolucci                  150.297 
264.    Owen Davidson                     150.156 
265.    Alvaro Jordan                     150.068 
266.    Guillermo Perez Roldan            149.366 
267.    Patrice Dominguez                 149.239 
268.    Alexander Volkov                  148.871 
269.    Kjell Johansson                   148.435 
270.    Young Dae Jeon                    147.738 
271.    Horacio Zeballos                  147.667 
272.    Vasek Pospisil                    147.528 
273.    Jackie Saul                        147.23 
274.    Manuel Santana                    147.119 
275.    Derrick Rostagno                  147.079 
276.    Marcos Baghdatis                  146.958 
277.    Eduardo Bengoechea                146.705 
278.    Christopher Oconnell              146.572 
279.    Barry Moir                        145.529 
280.    Thiago Seyboth Wild               145.067 
281.    Adriano Panatta                    144.96 
282.    Marko Tkalec                      143.816 
283.    Irakli Labadze                    143.279 
284.    George Hardie                     143.151 
285.    Szabolcz Baranyi                  143.106 
286.    Rolf Norberg                        143.0 
287.    Olivier Delaitre                  142.706 
288.    Wayne Odesnik                     142.562 
289.    Brett Steven                      142.269 
290.    Hendrik Dreekmann                 141.798 
291.    Benjamin Bonzi                    141.673 
292.    Marcos Hocevar                    141.316 
293.    Stan Wawrinka                     141.034 
294.    Nuno Borges                       140.872 
295.    Bu Yunchaokete                    140.851 
296.    Dominic Stricker                  140.676 
297.    Bruce Manson                      140.644 
298.    Doug Flach                         140.48 
299.    Charlie Pasarell                  140.464 
300.    Toma Ovici                        140.435 
301.    Eric Fromm                        140.144 
302.    Sandon Stolle                     139.965 
303.    Colin Dibley                      139.753 
304.    Fabian Marozsan                    138.89 
305.    Leif Johansson                    138.867 
306.    Kamil Majchrzak                   137.956 
307.    James Blake                       137.794 
308.    Mal Anderson                      137.507 
309.    Tsuyoshi Fukui                     137.45 
310.    Christian Bergstrom               137.322 
311.    Phil Dent                         137.033 
312.    Robert Wilson                     136.787 
313.    Karsten Braasch                   136.598 
314.    Paul Haarhuis                     136.523 
315.    Jurgen Fassbender                 136.125 
316.    Juan Gisbert                      135.665 
317.    Robert Maud                       135.575 
318.    Ken Fletcher                      135.277 
319.    Mohammad Ghareeb                  135.242 
320.    Vadim Borisov                     134.886 
321.    Lorenzo Sonego                    134.681 
322.    Kevin Anderson                    134.274 
323.    Mike Cahill                       134.177 
324.    Thiago Monteiro                   134.164 
325.    Eric Korita                        134.09 
326.    Henrik Holm                       133.084 
327.    Simone Bolelli                    132.505 
328.    Patrik Kuhnen                     132.432 
329.    Goran Ivanisevic                  132.383 
330.    Jun Kuki                          131.681 
331.    Victor Amaya                      131.652 
332.    Claudio Pistolesi                 131.541 
333.    Jared Donaldson                    131.06 
334.    Jan Pisecky                       131.002 
335.    Rinky Hijikata                    130.752 
336.    Victor Pecci                      130.685 
337.    Dusan Lajovic                     130.209 
338.    Sebastian Baez                    129.983 
339.    Paul Mcnamee                      129.809 
340.    Jarkko Nieminen                   129.717 
341.    Raemon Sluiter                    129.696 
342.    Nicolas Coutelot                  129.643 
343.    Luis Horna                        129.526 
344.    Bernard Boileau                   129.416 
345.    Yibing Wu                         129.272 
346.    Luis Ayala                        129.083 
347.    Juncheng Shang                    128.861 
348.    Dave Randall                       128.85 
349.    John Sadri                        128.508 
350.    Tom Okker                         128.445 
351.    Goran Prpic                       128.426 
352.    Robert Vant Hof                   127.904 
353.    Bernard Mitton                    127.651 
354.    Jonas Svensson                    127.526 
355.    Thomas Muster                     126.567 
356.    Darian King                       126.123 
357.    Hans Gildemeister                 125.354 
358.    Larry Stefanki                     125.34 
359.    Terry Rocavert                    125.295 
360.    Peter Bastiansen                  125.279 
361.    Tom Gorman                        125.195 
362.    Peter Rennert                     124.888 
363.    Tore Meinecke                      124.79 
364.    Jairo Velasco                     124.678 
365.    Timofey Skatov                    124.629 
366.    Slava Dosedel                     124.378 
367.    Daniel Brands                      124.21 
368.    Gianni Ocleppo                    123.647 
369.    Rolf Gehring                      123.392 
370.    Dennis Ralston                    123.379 
371.    Febi Widhiyanto                   123.322 
372.    Guillermo Vilas                   123.006 
373.    Philipp Petzschner                122.948 
374.    Corentin Moutet                   122.935 
375.    Mark Dickson                      122.869 
376.    Vladimir Voltchkov                 122.79 
377.    Amer Delic                        122.765 
378.    Jan Frode Andersen                122.606 
379.    John Isner                        122.063 
380.    Andrey Kuznetsov                  121.634 
381.    Felix Mantilla                    121.548 
382.    Zhizhen Zhang                     121.315 
383.    Geoff Masters                     121.034 
384.    Tim Gullikson                      120.97 
385.    Simon Greul                       120.883 
386.    Andy Murray                       120.777 
387.    Xavier Malisse                     120.74 
388.    Thomas Enqvist                    120.045 
389.    Glenn Layendecker                 119.883 
390.    Istvan Gulyas                     119.576 
391.    Zsombor Piros                     119.289 
392.    Gilles Moretton                    119.21 
393.    Philipp Kohlschreiber             118.954 
394.    Luiz Mattar                       118.923 
395.    Robin Haase                       118.573 
396.    Mario Martinez                    118.561 
397.    Joakim Nystrom                    117.991 
