Rank  Name                    Rating
1.  Jannik Sinner                766.724
2.  Novak Djokovic               637.637
3.  Robin Soderling               606.71
4.  Carlos Alcaraz                 566.4
5.  Roger Federer                541.146
6.  Arthur Ashe                   528.64
7.  Alexander Zverev             522.244
8.  Taylor Fritz                 509.494
9.  Nick Kyrgios                 472.285
10.  Juan Martin del Potro         451.68
11.  Patrick Rafter               443.651
12.  Rod Laver                    442.116
13.  Daniil Medvedev              439.686
14.  Pete Sampras                 419.011
15.  Jack Draper                  410.763
16.  Andy Roddick                 409.196
17.  Gene Mayer                    408.83
18.  Raul Ramirez                 408.584
19.  Holger Rune                  408.281
20.  John Newcombe                407.399
21.  Grigor Dimitrov              406.047
22.  Alex De Minaur               401.249
23.  Stefan Edberg                400.815
24.  Sebastian Korda               396.79
25.  Boris Becker                 383.186
26.  Kent Carlsson                381.587
27.  John McEnroe                 379.573
28.  Nicolas Escude               374.657
29.  Ugo Humbert                  372.071
30.  Matteo Berrettini            371.543
31.  Andre Agassi                 371.512
32.  Michael Stich                370.923
33.  Stefanos Tsitsipas            370.56
34.  Tommy Paul                   368.052
35.  Rafael Nadal                 367.242
36.  Karen Khachanov              366.481
37.  Mario Ancic                  365.824
38.  Richard Gonzalez             360.659
39.  Hubert Hurkacz               355.163
40.  Alex Metreveli               354.289
41.  Bjorn Borg                   345.177
42.  Alexei Popyrin               338.927
43.  Jay Berger                   334.883
44.  Haroon Rahim                  334.24
45.  Tony Roche                   327.154
46.  Andres Gimeno                325.941
47.  Miloslav Mecir                323.46
48.  Lorenzo Musetti              321.675
49.  Ben Shelton                  318.461
50.  Tomas Machac                 318.205
51.  Jan Leschly                  316.337
52.  David Nalbandian             308.455
53.  Darren Cahill                308.186
54.  Gael Monfils                 307.696
55.  Denis Shapovalov             300.431
56.  Flavio Cobolli               300.126
57.  Jordan Thompson              299.479
58.  Felix Auger Aliassime        298.502
59.  Roy Emerson                  297.978
60.  Mardy Fish                   294.388
61.  Milos Raonic                 291.311
62.  Frances Tiafoe               291.236
63.  Jiri Lehecka                 286.694
64.  Ivan Lendl                   284.619
65.  Arthur Fils                  284.478
66.  Roberto Bautista Agut        283.314
67.  Sandy Mayer                  282.551
68.  Marat Safin                  281.766
69.  Jose Higueras                278.665
70.  Alexandr Dolgopolov          278.005
71.  Jan Lennard Struff           276.589
72.  David Goffin                 276.376
73.  Tallon Griekspoor            274.397
74.  Teimuraz Kakulia             273.598
75.  Buster C Mottram             272.161
76.  Richard Krajicek             271.932
77.  Christophe Van Garsse        271.835
78.  Mariano Puerta               271.422
79.  Jakob Hlasek                 270.972
80.  Radek Stepanek               269.727
81.  Tomas Berdych                269.638
82.  Allan Stone                   268.87
83.  Kei Nishikori                266.987
84.  Ken Rosewall                 266.838
85.  Jim Courier                  266.347
86.  Thanasi Kokkinakis           263.717
87.  Hyeon Chung                  263.387
88.  Bob Lutz                     261.501
89.  Brandon Nakashima            261.377
90.  Earl Butch Buchholz           260.94
91.  Casper Ruud                  259.308
92.  Marty Riessen                258.348
93.  Francisco Cerundolo          256.814
94.  Jenson Brooksby                254.7
95.  Rafael Osuna                 254.644
96.  Eddie Dibbs                  254.263
97.  John Lloyd                   250.019
98.  Peter Mcnamara               249.554
99.  Andrey Rublev                246.175
100.  Alex Michelsen               242.677
101.  Balazs Taroczy               242.566
102.  Joachim Johansson             240.06
