player_id,wikidata_id,First Name,Last Name,Hand,Country,Height
113190,NOID,Bobby,Riggs,U,USA,0
200000,NOID,Desconegut,Desconegudez,U,UNK,0
200001,Q134720,Martina,Hingis,R,SUI,170
200002,Q239686,Mirjana,Lucic,R,CRO,181
200003,Q11682,Justine,Henin,R,BEL,167
200004,Q516757,Kerry Anne,Guse,R,AUS,159
200005,Q1702635,Jolene,Watanabe,R,USA,0
200006,Q269278,Karina,Habsudova,R,SVK,170
200007,Q271692,Silvija,Talaja,R,CRO,173
200008,Q232922,Alicia,Molik,R,AUS,182
200009,Q144555,Tamarine,Tanasugarn,R,THA,165
200010,Q264551,Rita,Grande,R,ITA,177
200011,Q229116,Katarina,Srebotnik,R,SLO,180
200012,Q2908430,Jana,Nejedly,R,CAN,175
200013,Q2283377,Angelica,Gavaldon,R,MEX,0
200014,Q867533,Tzipi,Obziler,R,ISR,172
200015,Q258965,Petra,Mandula,R,HUN,178
200016,Q259026,Sandrine,Testud,R,FRA,176
200017,Q188080,Arantxa,Sanchez Vicario,R,ESP,168
200018,Q1503174,Julia,Abe,R,GER,0
200019,Q468226,Alexandra,Fusai,R,FRA,176
200020,Q10129,Lisa,Raymond,R,USA,165
200021,Q748769,Alexia,Dechaume Balleret,R,FRA,0
200022,Q254686,Emmanuelle,Gagliardi,R,SUI,171
200023,Q456729,Bryanne,Stewart,R,AUS,174
200024,Q254260,Maria,Vento Kabchi,R,VEN,168
200025,Q591648,Ludmila,Cervanova,R,SVK,171
200026,Q455165,Florencia,Labat,L,ARG,170
200027,Q271740,Magui,Serna,L,ESP,167
200028,Q2777538,Maureen,Drake,R,CAN,175
200029,Q3242430,Lisa,Mcshea,R,AUS,174
200030,Q233306,Miroslava,Vavrinec,R,SUI,173
200031,Q265572,Meilen,Tu,R,USA,163
200032,Q259647,Barbara,Schett,R,AUT,176
200033,Q11459,Serena,Williams,R,USA,175
200034,Q33027005,Amanda,Grahame,L,AUS,0
200035,Q522197,Maria,Sanchez Lorenzo,R,ESP,171
200036,Q271711,Nicole,Pratt,R,AUS,163
200037,Q239791,Sabine,Appelmans,L,BEL,168
200038,Q2382889,Annabel,Ellwood,R,AUS,165
200039,Q237894,Chanda,Rubin,R,USA,168
200040,Q233521,Anna,Smashnova,R,ISR,157
200041,Q254340,Amy,Frazier,R,USA,175
200042,Q260112,Els,Callens,R,BEL,178
200043,Q220425,Virginie,Razzano,R,FRA,173
200044,Q271728,Denisa,Chladkova,R,CZE,174
200045,Q301072,Tara,Snyder,R,USA,175
200046,Q54652,Meghann,Shaughnessy,R,USA,180
200047,Q629984,Pavlina,Nola,R,NZL,0
200048,Q233231,Elena,Likhovtseva,R,RUS,174
200049,Q232618,Conchita,Martinez,R,ESP,170
200050,Q3471919,Sandra,Kleinova,R,CZE,177
200051,Q265927,Irina,Spirlea,R,ROU,175
200052,Q452832,Olga,Barabanschikova,R,BLR,172
200053,Q3242109,Lubomira,Bacheva,R,BUL,0
200054,Q432729,Sylvia,Plischke,R,AUT,177
200055,Q2307635,Mariana,Diaz Oliva,R,ARG,172
200056,Q233556,Jelena,Kostanic Tosic,L,CRO,168
200057,Q940235,Erika,De Lone,R,USA,0
200058,Q4767019,Anna,Foldenyi Dicker,R,HUN,165
200059,Q273507,Ruxandra,Dragomir Ilie,R,ROU,168
200060,Q230235,Tathiana,Garbin,R,ITA,172
200061,Q455239,Gala,Leon Garcia,L,ESP,163
200062,Q264544,Kristina,Brandi,R,PUR,168
200063,Q269080,Tatiana,Panova,R,RUS,154
200064,Q233339,Amanda,Coetzer,R,RSA,158
200065,Q180872,Amelie,Mauresmo,R,FRA,175
200066,Q271754,Cristina,Torrens Valero,R,ESP,171
200067,Q231954,Patty,Schnyder,L,SUI,168
200068,Q258202,Lilia,Osterloh,R,USA,170
200069,Q11659,Nadia,Petrova,R,RUS,178
200070,Q1563349,Anne Gaelle,Sidot,L,FRA,172
