,player_id,wikidata_id,First Name,Last Name,Hand,Country,Height,elo_rating,elo_clay_rating,elo_hard_rating,elo_grass_rating,elo_carpet_rating,max_elo_rating,min_elo_rating,n_games,last_game,n_wins,n_losses,n_titles,rank
1,216347,Q26840238,Iga,Swiatek,R,POL,176,2103.0,1573.0,1568.0,1515.0,1500.0,2150.0,1500.0,333,2024-11-13,270,63,23,1
2,214544,Q23448791,Aryna,Sabalenka,R,BLR,182,2028.0,1546.0,1513.0,1562.0,1500.0,2059.0,1497.0,446,2024-11-04,316,130,17,2
3,221103,Q39263365,Coco,Gauff,R,USA,175,1977.0,1533.0,1584.0,1536.0,1500.0,1992.0,1496.0,285,2024-11-04,200,85,9,3
4,221012,Q62096129,Qinwen,Zheng,R,CHN,0,1944.0,1577.0,1533.0,1489.0,1500.0,1944.0,1489.0,168,2024-11-04,109,59,5,4
5,214981,Q42055714,Elena,Rybakina,R,KAZ,184,1922.0,1535.0,1511.0,1508.0,1500.0,1985.0,1492.0,320,2024-11-15,220,100,8,5
6,214096,Q23661750,Karolina,Muchova,R,CZE,178,1907.0,1472.0,1567.0,1569.0,1500.0,1908.0,1485.0,187,2024-10-14,121,66,1,6
7,202468,Q24159,Jessica,Pegula,R,USA,170,1902.0,1520.0,1480.0,1527.0,1500.0,1968.0,1468.0,321,2024-11-04,212,109,7,7
8,211651,Q19560013,Paula,Badosa,R,ESP,180,1876.0,1482.0,1443.0,1593.0,1500.0,1902.0,1467.0,238,2024-11-13,148,90,4,8
9,201594,Q230156,Simona,Halep,R,ROU,168,1852.0,1460.0,1520.0,1548.0,1525.0,2039.0,1500.0,674,2024-10-28,469,205,24,9
10,211148,Q19973674,Jasmine,Paolini,R,ITA,160,1851.0,1440.0,1565.0,1517.0,1500.0,1862.0,1467.0,243,2024-11-13,129,114,3,10
11,202505,Q509903,Belinda,Bencic,R,SUI,175,1847.0,1499.0,1512.0,1513.0,1500.0,1931.0,1487.0,441,2024-11-15,270,171,8,11
12,201619,Q34403,Madison,Keys,R,USA,178,1842.0,1544.0,1551.0,1526.0,1500.0,1924.0,1500.0,508,2024-10-07,315,193,9,12
13,203389,Q17523802,Danielle,Collins,R,USA,178,1822.0,1494.0,1525.0,1529.0,1500.0,1919.0,1484.0,272,2024-11-13,166,106,4,13
14,201709,Q2429984,Yulia,Putintseva,R,KAZ,163,1809.0,1479.0,1574.0,1517.0,1500.0,1837.0,1485.0,492,2024-11-15,257,235,3,14
15,214082,Q17144642,Daria,Kasatkina,R,RUS,170,1807.0,1500.0,1507.0,1547.0,1500.0,1874.0,1484.0,494,2024-11-04,299,195,8,15
16,215613,Q62675797,Emma,Navarro,R,USA,0,1801.0,1535.0,1555.0,1536.0,1500.0,1840.0,1467.0,109,2024-10-07,65,44,1,16
17,202494,Q270249,Elina,Svitolina,R,UKR,174,1800.0,1509.0,1469.0,1528.0,1511.0,1963.0,1453.0,601,2024-08-26,388,213,17,17
18,259799,NOID,Mirra,Andreeva,R,RUS,0,1800.0,1491.0,1528.0,1489.0,1500.0,1800.0,1493.0,73,2024-10-14,48,25,1,18
19,223670,Q107183075,Diana,Shnaider,L,RUS,0,1794.0,1501.0,1557.0,1522.0,1500.0,1797.0,1499.0,91,2024-10-28,59,32,4,19
20,216146,Q28535267,Marta,Kostyuk,R,UKR,175,1791.0,1509.0,1535.0,1537.0,1500.0,1853.0,1498.0,199,2024-10-07,108,91,1,20
21,211768,Q17466583,Naomi,Osaka,R,JPN,180,1789.0,1436.0,1519.0,1491.0,1500.0,2004.0,1497.0,312,2024-09-25,199,113,7,21
22,206252,Q11052500,Barbora,Krejcikova,R,CZE,178,1786.0,1500.0,1547.0,1583.0,1500.0,1887.0,1491.0,234,2024-11-04,146,88,8,22
23,214954,Q18918709,Marketa,Vondrousova,L,CZE,173,1785.0,1573.0,1437.0,1504.0,1500.0,1925.0,1500.0,260,2024-07-01,161,99,2,23
24,201458,Q10118,Victoria,Azarenka,R,BLR,180,1783.0,1531.0,1476.0,1516.0,1411.0,2155.0,1500.0,850,2024-09-09,589,261,21,24
25,206242,Q2380901,Beatriz,Haddad Maia,L,BRA,185,1783.0,1489.0,1490.0,1514.0,1500.0,1806.0,1474.0,266,2024-11-15,153,113,4,25
26,202499,Q648854,Donna,Vekic,R,CRO,179,1779.0,1535.0,1560.0,1546.0,1500.0,1810.0,1491.0,445,2024-10-07,234,211,4,26
27,216153,NOID,Amanda,Anisimova,R,USA,180,1777.0,1524.0,1523.0,1512.0,1500.0,1867.0,1479.0,190,2024-10-07,111,79,2,27
28,214939,Q20088944,Anna,Kalinskaya,R,RUS,175,1771.0,1467.0,1526.0,1527.0,1500.0,1807.0,1420.0,179,2024-10-14,89,90,0,28
29,202460,Q290212,Ons,Jabeur,R,TUN,167,1765.0,1586.0,1490.0,1514.0,1500.0,1981.0,1498.0,371,2024-08-05,226,145,5,29
30,221054,Q64849968,Emma,Raducanu,R,GBR,175,1758.0,1489.0,1499.0,1490.0,1500.0,1758.0,1486.0,101,2024-11-13,58,43,1,30
31,214643,Q26416429,Liudmila,Samsonova,R,RUS,180,1757.0,1526.0,1580.0,1531.0,1500.0,1848.0,1485.0,216,2024-10-07,123,93,5,31
32,206289,Q6761562,Maria,Sakkari,R,GRE,172,1755.0,1525.0,1424.0,1602.0,1500.0,1908.0,1425.0,421,2024-08-26,241,180,2,32
33,201496,Q30767,Caroline,Wozniacki,R,DEN,177,1752.0,1479.0,1539.0,1537.0,1510.0,2112.0,1476.0,915,2024-08-26,635,280,30,33
34,220367,Q50329570,Leylah,Fernandez,L,CAN,168,1749.0,1551.0,1501.0,1491.0,1500.0,1802.0,1458.0,203,2024-11-13,118,85,4,34
35,201499,Q487182,Anastasia,Pavlyuchenkova,R,RUS,177,1744.0,1598.0,1525.0,1502.0,1536.0,1900.0,1488.0,742,2024-08-26,423,319,12,35
36,211533,Q5551564,Jelena,Ostapenko,R,LAT,177,1739.0,1499.0,1489.0,1588.0,1500.0,1885.0,1500.0,465,2024-09-09,273,192,8,36
37,222328,Q106354932,Linda,Noskova,R,CZE,0,1726.0,1470.0,1518.0,1451.0,1500.0,1760.0,1492.0,93,2024-11-13,54,39,1,37
